 1-ий Богдана Хмельницького провулок                                      | 1-й Богдана Хмельницького провулок                                      | w188022086
 пров. Зелений                                                            | Зелений провулок                                                         | w128623223
 пров. Калініна                                                           | Калініна провулок                                                        | w256446509
 пров. Кірова                                                             | Кірова провулок                                                          | w256446494
 пров. Костюшко                                                           | Костюшко провулок                                                        | w566450519,w566450522
 пров. Коцюбинського                                                      | Коцюбинського провулок                                                   | w229297979
 пров. Лісовий                                                            | Лісовий провулок                                                         | w206504665
 пров. Михайлівський                                                      | Михайлівський провулок                                                   | w99218767
 пров. Новоселицький                                                      | Новоселицький провулок                                                   | w403610941
 пров. Паризької Комуни                                                   | Паризької Комуни провулок                                                | w256444826
 пров. Подільський                                                        | Подільський провулок                                                     | w508663860,w508663861,w508663862,w508663863,w508663864,w508663865,w508663866
 пров. Садовый                                                            | Садовый провулок                                                         | w485335898
 пров. С. Бойка                                                           | С. Бойка провулок                                                        | w566430987,w566430989
 пров. Тихий                                                              | Тихий провулок                                                           | w416147026
 провулок ім. Андрія Лепехи                                               | Андрія ім. Лепехи провулок                                               | w382326988
 Провулок Льва Толстого                                                   | Льва Провулок Толстого                                                   | w187444279
 провулок Трубний 1-й                                                     | 1-й Трубний провулок                                                     | w406207817
 провулок  Шкільний                                                       | Шкільний провулок                                                        | w188190308,w546390208,w546390209,w546390210,w546390211
 пров. Чорновола                                                          | Чорновола провулок                                                       | w403643328,w403643330
 пров. Шевченка                                                           | Шевченка провулок                                                        | w407762292,w566424921
 пров. Шкільний                                                           | Шкільний провулок                                                        | w470326188
 пров. Яровый                                                             | Яровый провулок                                                          | w126826028
 Проектуємий 3-й провулок                                                 | 3-й Проектуємий провулок                                                 | w388243181
 Проектуємий 5-й провулок                                                 | 5-й Проектуємий провулок                                                 | w389365059
 Пролісковий 1-й проїзд                                                   | 1-й Пролісковий проїзд                                                   | w204533492
 Промисловий 1-й провулок                                                 | 1-й Промисловий провулок                                                 | w243780050
 проспект Святих Кирила та Мефодія                                        | Кирила Святих та Мефодія проспект                                        | r2168548,w134702843
 просп. Молодежный                                                        | Молодежный проспект                                                      | n5283698730
 Прохідна на 2-й плац НаУКМА                                              | 2-й Прохідна на плац НаУКМА                                              | w461133683
 Пугачова Вадима вулиця                                                   | Вадима Пугачова вулиця                                                   | w177581886,w233401188,w233401292,w301593655,w307091223,w307091224,w307470901,w307978436,w307978437,w391865005,w417371946,w435869497
 Путейский пер.                                                           | Путейский переулок                                                       | w219874598,w219874669
 Рабочий мост РМ 1.1                                                      | Рабочий РМ 1.1 мост                                                      | w389191852
 Рабочий мост РМ 2                                                        | Рабочий РМ 2 мост                                                        | w398490188
 Рабочий мост РМ 3                                                        | Рабочий РМ 3 мост                                                        | w398761444
 Радгоспна вул.                                                           | Радгоспна вулиця                                                         | w422603256,w90122316
 радянська                                                                | радянська                                                                | n4312168691
 Рес. Крым, г.Судак, Туристическое ш., квартал Хале                       | Рес. Крым, г.Судак, Туристическое ш., Хале квартал                       | n4964091531
 Рунге ул. 1-й проезд                                                     | 1-й Рунге проезд улица                                                   | w402038985
 Рунге ул. 1-й проезд                                                     | 1-й Рунге ул. проезд                                                     | w402038985
 Савіцького Юрія вулиця                                                   | Юрія Савіцького вулиця                                                   | w281819992,w323268662,w323446392,w323446484,w323446485,w323446489,w326350696,w329573037,w330267944,w330268018,w330268200,w330268219,w449431844,w449433612,w449449472
 Сагайдачного 1-й провулок                                                | 1-й Сагайдачного провулок                                                | w342805789
 Сагайдачного 2-й провулок                                                | 2-й Сагайдачного провулок                                                | w342800463
 Садова  вулиця                                                           | Садова вулиця                                                            | w214390472,w256192212,w450363192
 Садова провулок чи вулиця?                                               | Садова чи вулиця? провулок                                               | w167991159,w219645493
 санаторный тупик 8                                                       | санаторный 8 тупик                                                       | n5013716321
 Свірського Олександра вулиця                                             | Олександра Свірського вулиця                                             | w106462729,w107224641
 Святителя Павла Конюшкевича площа                                        | Павла Святителя Конюшкевича площа                                        | w263476093,w381618023
 Святого Йоана Павла ІІ вулиця                                            | Святого Павла Йоана ІІ вулиця                                            | w185918420,w36990594,w435761924,w435761942,w435761943,w435761944,w436057346,w436057347,w436057351,w436057352,w436057353,w436057354,w437940594,w437940595,w437940596,w437940599,w437940600,w437940602,w438491187,w441403904,w441403905,w441403906,w441403907,w441403908,w441403909,w441403951,w441806919,w441806924,w441806927,w441806930,w441806933,w441806935,w441806938,w442423887,w442423888,w442423889,w442423890,w442423891,w442423892
 Святошинський 1-й провулок                                               | 1-й Святошинський провулок                                               | w349707355
 Святошинський 2-й провулок                                               | 2-й Святошинський провулок                                               | w349707354
 Святошинський 3-й проїзд                                                 | 3-й Святошинський проїзд                                                 | w500724824
 Селецький провулок - Преображенська вулиця                               | Селецький - Преображенська вулиця провулок                               | w464106783
 Сестер Кулякіних вулиця                                                  | Сестер Кулякіних вулиця                                                  | w207002226
 Силікатний пров.                                                         | Силікатний провулок                                                      | w291378249,w291398732
 Симона Петлюри вулиця - Дубенська вулиця                                 | Симона Петлюри - Дубенська вулиця вулиця                                 | w483155521
 Симферопольское шоссе 2                                                  | Симферопольское 2 шоссе                                                  | n3937755761
 Сирітський 1-й провулок                                                  | 1-й Сирітський провулок                                                  | w389606794
 Сирітський 2-й провулок                                                  | 2-й Сирітський провулок                                                  | w389606795
 Сікорського Ігоря вулиця                                                 | Ігоря Сікорського вулиця                                                 | w269493575
 Скифская улица / Океанская улица                                         | Скифская / Океанская улица улица                                         | w526520759
 Скляний 1-й провулок                                                     | 1-й Скляний провулок                                                     | w387654938
 Скляний 2-й провулок                                                     | 2-й Скляний провулок                                                     | w188203925
 Скляний 3-й провулок                                                     | 3-й Скляний провулок                                                     | w188203923
 Сковороди Григорія вулиця                                                | Григорія Сковороди вулиця                                                | w106453718
 Слов'янська  вулиця                                                      | Слов'янська вулиця                                                       | w163218453
 Слонського Анатолія вулиця                                               | Анатолія Слонського вулиця                                               | w65272365
 Смолінського Леоніда вулиця                                              | Леоніда Смолінського вулиця                                              | w292351594
 Советская ул.                                                            | Советская улица                                                          | n1870924700,n4121521396,n4121626596
 Сонячна  вулиця                                                          | Сонячна вулиця                                                           | w257508476
 Сонячна вулиця (діл.: 217-259)                                           | Сонячна (діл.: 217-259) вулиця                                           | w536038682
 Сонячний 2-й провулок                                                    | 2-й Сонячний провулок                                                    | w332271691
 Сосновая улица / Липранди улица                                          | Сосновая / Липранди улица улица                                          | w292386274
 Сосновая улица / Потёмкинский проезд                                     | Сосновая / Потёмкинский проезд улица                                     | w292386222
 Соціалістична вулиця (Василя Стуса)                                      | Соціалістична (Василя Стуса) вулиця                                      | n1056782820
 Сошиновська  вулиця                                                      | Сошиновська вулиця                                                       | w184157033
 Спiвоча                                                                  | Спiвоча                                                                  | w331199237
 Спортивна  вулиця                                                        | Спортивна вулиця                                                         | w277291863
 Спортивна вулиця                                                         | Спортивна вулиця                                                         | w124859877
 старая бетонная дорога по Ольховой Балке                                 | старая бетонная по Ольховой Балке дорога                                 | w363427837
 Старокиевское шоссе 21 км, 9                                             | Старокиевское 21 км, 9 шоссе                                             | n4737859622
 Старшого лейтенанта Битюцького вулиця                                    | Лейтенанта Старшого Битюцького вулиця                                    | n5398813359,n5398813360,n5398813361,n5398813362,n5398813363,n5398813364,n5398813365,n5398813366,n5398813367,n5398813368,n5398813369,n5398813370,n5398813371,n5398813372,n5398813373,n5398813374,n5398813375,n5398813376,n5398813377,n5398813378,n5398813379,n5398813380,n5398813381,n5398813382,w38649529
 Старшого лейтенанта Маци вулиця                                          | Лейтенанта Старшого Маци вулиця                                          | n5398813405,n5398813406,n5398813407,n5398813408,n5398813409,n5398813410,n5398813411,n5398813412,n5398813413,n5398813414,n5398813415,n5398813416,n5398813417,n5398818224,n5398818225,n5398818226,n5398818227,n5398818228,n5398818229,n5398818230,n5398818231,n5398818232,n5398818233,n5398818234,n5398818237,n5398818238,w38650287
 Старшого сержанта Кульбашного провулок                                   | Сержанта Старшого Кульбашного провулок                                   | w95001572
 Степна  вулиця                                                           | Степна вулиця                                                            | w452623799
 Степова вулиця (Хлібне містечко)                                         | Степова (Хлібне містечко) вулиця                                         | w139079364,w485026589,w538829097,w538853030
 Стеценка Кирила провулок                                                 | Кирила Стеценка провулок                                                 | w143220933
 Стулова  вулиця                                                          | Стулова вулиця                                                           | w323172960,w323172961,w323172962,w323172963,w339539083,w339539084,w339539085,w339539086,w339539087,w339539088,w339539089,w339539090,w339539091,w339539092,w339539093,w339539094,w339539095,w339539096,w339539097,w339541548,w339541549,w339541550,w339541551,w339541553,w339541554,w339541557,w339541559,w440640407,w440640408,w440640409,w440640410,w477583462
 Суворова Олександра вулиця                                               | Олександра Суворова вулиця                                               | w380380862
 Сумська                                                                  | Сумська                                                                  | w301812151
 Східчастий 3-й провулок                                                  | 3-й Східчастий провулок                                                  | w389294893
 Тараса Шевченка / Лесі Українки вулиця                                   | Лесі Тараса Шевченка / Українки вулиця                                   | w240421630
 Тейфука Абдуля вулиця                                                    | Абдуля Тейфука вулиця                                                    | w269520874
 Тетіївська вул.                                                          | Тетіївська вулиця                                                        | w361471274,w361471290
 Тиха  вулиця                                                             | Тиха вулиця                                                              | w250527536
 Тиха вулиця (Постайні)                                                   | Тиха (Постайні) вулиця                                                   | w319872710
 Тичини Павла                                                             | Павла Тичини                                                             | w124968530
 Тичини Павла вулиця                                                      | Павла Тичини вулиця                                                      | w143220903
 Торгова площа вулиця                                                     | Торгова вулиця площа                                                     | w204408734,w541556390
 Тореза                                                                   | Тореза                                                                   | w115102280
 Тореза Мориса вулиця                                                     | Мориса Тореза вулиця                                                     | w99010539
 Трояндова вулиця (діл.: 16-30)                                           | Трояндова (діл.: 16-30) вулиця                                           | w536038686
 Трудова вулиця; Вінцентія Поля вулиця                                    | Поля Трудова вулиця; Вінцентія вулиця                                    | w31665031
 Тулуба Олександра вулиця                                                 | Олександра Тулуба вулиця                                                 | w143234536
 Тургелі Михайла провулок                                                 | Михайла Тургелі провулок                                                 | w143068817
 Ужгородська набережна вулиця                                             | Ужгородська вулиця набережна                                             | w427032736,w428184739,w431836303
 Українки Лесі вулиця                                                     | Лесі Українки вулиця                                                     | w454738444,w454738449,w454738459
 Українська вулиця / Радянська вулиця                                     | Українська / Радянська вулиця вулиця                                     | w409021283,w409021284,w409021285,w409021287,w409021288,w409021289,w409036633
 ул. 1 Мая                                                                | 1 Мая улица                                                              | n2444466996
 ул. 2-я Сортоиспытательная                                               | 2-я Сортоиспытательная улица                                             | w188287368
 ул. 395 Шахтерской дивизии                                               | 395 Шахтерской дивизии улица                                             | w559725302
 ул. Абрикосовая                                                          | Абрикосовая улица                                                        | w560544868,w560741933
 ул. Апельсиновая                                                         | Апельсиновая улица                                                       | w560726872
 ул. Банна                                                                | Банна улица                                                              | w511565381,w524061712,w524064867,w524065906
 ул. Банная                                                               | Банная улица                                                             | w524066264,w525635438
 ул. Барбарисовая                                                         | Барбарисовая улица                                                       | w560727256
 ул. Березовая                                                            | Березовая улица                                                          | w560739677
 ул. Борисова                                                             | Борисова улица                                                           | w125434971
 ул. Бориспольская                                                        | Бориспольская улица                                                      | n5178484721
 ул. Боярышнековая                                                        | Боярышнековая улица                                                      | w560727940
 ул. Брусничная                                                           | Брусничная улица                                                         | w560748012
 ул. Буденного                                                            | Буденного улица                                                          | w243054637
 ул. Валерьяновая                                                         | Валерьяновая улица                                                       | w560728317
 ул. Васильковая                                                          | Васильковая улица                                                        | w560728128
 ул. Ватутина                                                             | Ватутина улица                                                           | w369798186,w369798276,w369798303,w369801904,w369802104,w369802469
 ул. Вербицкого                                                           | Вербицкого улица                                                         | w227381364
 ул. Виноградная                                                          | Виноградная улица                                                        | w560545035
 ул. Вишневая                                                             | Вишневая улица                                                           | w560545222
 ул. Восточная                                                            | Восточная улица                                                          | w512629857
 ул. Гагарина                                                             | Гагарина улица                                                           | w430601843,w430601846
 ул. Гвоздичная                                                           | Гвоздичная улица                                                         | w560728579
 ул. Генерала Ватутина                                                    | Генерала Ватутина улица                                                  | n4541187890,w259096500,w278695537
 ул. Голубичная                                                           | Голубичная улица                                                         | w560728740
 ул. Гречичная                                                            | Гречичная улица                                                          | w560728986
 ул. Грушевая                                                             | Грушевая улица                                                           | w560545391
 ул. Донецкая                                                             | Донецкая улица                                                           | w355086700,w355092413,w417072100,w417223080,w417223092,w417223102,w417223110,w417223116,w417223124,w417223130
 ул. Дубовая                                                              | Дубовая улица                                                            | w560739659
 ул. Жасминовая                                                           | Жасминовая улица                                                         | w560724958
 ул. Женьшеневая                                                          | Женьшеневая улица                                                        | w560729575
 ул. Замкова                                                              | Замкова улица                                                            | n4876585225
 ул. Заречанская                                                          | Заречанская улица                                                        | w337937326,w337937380,w337937427,w337937445
 ул. Земляничная                                                          | Земляничная улица                                                        | w560729764
 ул. Золочевского                                                         | Золочевского улица                                                       | w412376072
 ул. Инжировая                                                            | Инжировая улица                                                          | w560729125
 улица Азизова                                                            | Азизова улица                                                            | w272566019
 улица Александровского                                                   | Александровского улица                                                   | w163559783
 улица Амет-Хана Султана                                                  | Султана Амет-Хана улица                                                  | w101811030,w101811049,w102477533,w110644698,w111655128,w112965099,w127004464,w128165565,w128492490,w151592778,w169888185,w202659210,w202699567,w209552743,w217502991,w265140308,w266046304,w272566027,w273656879,w336776495,w340338086,w385246063,w491642072,w537767174,w67099061,w71494405,w94516292,w95816768
 улица Артиллеристов                                                      | Артиллеристов улица                                                      | w492164528,w99166534
 улица Архиепископа Луки Войно-Ясенецкого                                 | Луки Архиепископа Войно-Ясенецкого улица                                 | w142939540
 улица Бершанской                                                         | Бершанской улица                                                         | w157254307
 Улица Зигмунда Квасневського                                             | Зигмунда Улица Квасневського                                             | w201427896
 улица имени Павла Асаулюка                                               | Павла имени Асаулюка улица                                               | w266294120,w266294140,w300257590,w300257648,w300257726,w300257746,w441616674
 улица им. Н. Г. Сотника                                                  | Сотника им. Н. Г. улица                                                  | w176137703
 улица Механизаторов                                                      | Механизаторов улица                                                      | w424481182
 улица Мира                                                               | Мира улица                                                               | w104133867,w104133870,w424708897
 улица Н. Г. Сотника                                                      | Сотника Н. Г. улица                                                      | w126353860
 улица Тейфука Абдуля                                                     | Абдуля Тейфука улица                                                     | w269520874
 улица  Чкалова                                                           | Чкалова улица                                                            | w303845889
 улица Юнге                                                               | Юнге улица                                                               | w131438409,w34536002
 ул. Калинина                                                             | Калинина улица                                                           | w177708187,w188289327,w369796601,w369796656,w369797623,w369797639,w369797727,w369797855,w369798040
 ул. Карла Маркса                                                         | Карла Маркса улица                                                       | w243028353,w243030191,w420214232,w420218380,w420225685
 ул. Кедровая                                                             | Кедровая улица                                                           | w560739005
 ул. Клубничная                                                           | Клубничная улица                                                         | w560545468
 ул. Короленко                                                            | Короленко улица                                                          | w278695491
 ул. Космическая                                                          | Космическая улица                                                        | w337937333,w337937371,w337937436,w337937444,w337937448,w337937467
 ул. Крымская                                                             | Крымская улица                                                           | w459593055
 ул. Куйбышева                                                            | Куйбышева улица                                                          | w450025714
 ул. Кучми                                                                | Кучми улица                                                              | n5299049433
 ул. Ленина                                                               | Ленина улица                                                             | n2445694308,w205823595,w420218708
 ул. Лесная                                                               | Лесная улица                                                             | n5054573721
 ул. Леся Курбаса                                                         | Леся Курбаса улица                                                       | w337937391
 ул. Лимонная                                                             | Лимонная улица                                                           | w560730785
 ул. Липовая                                                              | Липовая улица                                                            | w560738845
 ул. Лиственная                                                           | Лиственная улица                                                         | w560730047
 ул. Л. Кучми                                                             | Л. Кучми улица                                                           | w548517430
 ул. Л.Кучми                                                              | Л.Кучми улица                                                            | n5299009468,n5299009469,w548513806,w548517428,w548517429,w548517436
 ул. Льва Толстого                                                        | Льва Толстого улица                                                      | w483255609
 ул. Маковая                                                              | Маковая улица                                                            | w560731554
 ул. Малиновая                                                            | Малиновая улица                                                          | w560545781
 ул. Мандариновая                                                         | Мандариновая улица                                                       | w560731741
 ул. Миндальная                                                           | Миндальная улица                                                         | w560738410
 ул. Мичурина                                                             | Мичурина улица                                                           | w458075189
 ул. Молочная                                                             | Молочная улица                                                           | w524066306,w562037336,w562037337,w562037338,w562727970,w562727971
 ул. Мориса Тереза                                                        | Мориса Тереза улица                                                      | n4166385389
 ул. Набережная                                                           | Набережная улица                                                         | n5439678621,w562320752
 ул. Набережная Победы                                                    | Набережная Победы улица                                                  | n4174452219
 ул. Набережно-Корчеватская                                               | Набережно-Корчеватская улица                                             | w436222550
 ул. Новая                                                                | Новая улица                                                              | w480640463,w480640466,w480640470,w480640472,w480640474,w480640476,w480640478,w480640480,w480640482,w480640485,w480640487,w480640489,w480640491,w480640493,w480640495,w480640497,w480640499,w480640501,w480640503,w480640505,w480640506,w480640508
 ул. Облепиховая                                                          | Облепиховая улица                                                        | w560726172,w560748253
 ул. Обуховское шоссе-2                                                   | Обуховское шоссе-2 улица                                                 | w405342140
 ул. Озерна вулиця                                                        | Озерна вулиця улица                                                      | w356553994
 ул. Озёрная                                                              | Озёрная улица                                                            | w525628358
 ул. Октябрьской Революции, 242 г                                         | Октябрьской Революции, 242 г улица                                       | w125348224
 ул. Олега Горбачева                                                      | Олега Горбачева улица                                                    | w524063067,w533169235,w533169524,w533169526,w561218937,w561524788,w561524789,w561524790,w561524791,w561524792,w561529686,w561529687,w561529688,w561529689
 ул. Ольховая                                                             | Ольховая улица                                                           | w560737901
 ул. Ореховая                                                             | Ореховая улица                                                           | w560744306
 ул. Павлова                                                              | Павлова улица                                                            | w412376075
 ул. Партизанская                                                         | Партизанская улица                                                       | w532225484,w532225487
 ул. Партизанская (Красных партизанов)                                    | Партизанская (Красных партизанов) улица                                  | w126825870
 ул. Патриса Лумумбы                                                      | Патриса Лумумбы улица                                                    | w432992086
 ул. Персиковая                                                           | Персиковая улица                                                         | w560744622
 ул. Петровского                                                          | Петровского улица                                                        | w315905428
 ул. Пирогова                                                             | Пирогова улица                                                           | n2312888754
 ул. Пихтовая                                                             | Пихтовая улица                                                           | w560737441
 ул. Плехановская                                                         | Плехановская улица                                                       | w72203895
 ул. Победы                                                               | Победы улица                                                             | w507897539
 ул. Полевая, 9                                                           | Полевая, 9 улица                                                         | n4383881693
 ул. Пушкина                                                              | Пушкина улица                                                            | w211267189
 ул. Пшеничная                                                            | Пшеничная улица                                                          | w560732182
 ул. Розовая                                                              | Розовая улица                                                            | w560748231
 ул. Рябиновая                                                            | Рябиновая улица                                                          | w560744646,w560744737
 ул. Садовая                                                              | Садовая улица                                                            | n5178484922,w560726356,w560753471
 ул. Сиреневая                                                            | Сиреневая улица                                                          | w560747914
 ул. Сливовая                                                             | Сливовая улица                                                           | w560744396
 ул. Советская                                                            | Советская улица                                                          | n3589638355
 ул. Солнечная                                                            | Солнечная улица                                                          | w467594890
 ул. Соснова                                                              | Соснова улица                                                            | w233681044
 ул. Сосновая                                                             | Сосновая улица                                                           | w411660556
 ул. Театральная                                                          | Театральная улица                                                        | w369801449
 ул. Тетральная                                                           | Тетральная улица                                                         | w369798961,w369798989,w369800686,w369800774,w369800793,w369800880,w369801293,w369801545,w369801678
 ул. Товарная 9/5 склад №31                                               | Товарная 9/5 склад №31 улица                                             | n4299095697
 ул. Ударников                                                            | Ударников улица                                                          | w235951983
 ул. Фруктовая                                                            | Фруктовая улица                                                          | w560749890
 ул. Цветочная                                                            | Цветочная улица                                                          | w532213916,w532213918,w532213919,w532213920,w532213921,w532213922,w560546444,w560744901
 ул. Центральная                                                          | Центральная улица                                                        | w438300955,w438752652,w438752658,w438752661
 ул. Центральная (бывшая Ленина)                                          | Центральная (бывшая Ленина) улица                                        | w447301027
 ул. Цикориевая                                                           | Цикориевая улица                                                         | w560734104
 ул. Чапаева                                                              | Чапаева улица                                                            | w204098379
 ул. Черниговская                                                         | Черниговская улица                                                       | w548505091,w548505092
 ул. Черничная                                                            | Черничная улица                                                          | w560748111
 ул. Чкалова                                                              | Чкалова улица                                                            | w250080813
 ул. Шалфейная                                                            | Шалфейная улица                                                          | w560732453
 ул. Шафрановая                                                           | Шафрановая улица                                                         | w560732808
 ул. Шахтерская                                                           | Шахтерская улица                                                         | w369795533,w369798394,w369798403,w369798761
 ул. Шевченко                                                             | Шевченко улица                                                           | w211267184
 ул. Шелковичная                                                          | Шелковичная улица                                                        | w560734814,w560736029
 ул. Электротехническая                                                   | Электротехническая улица                                                 | w377741773
 ул. Яблоневая                                                            | Яблоневая улица                                                          | w560749927
 ул. Ячменная                                                             | Ячменная улица                                                           | w560734193
 Урожайная ул.                                                            | Урожайная улица                                                          | w293385413
 Успенсько-Троїцька вулиця 120                                            | Успенсько-Троїцька 120 вулиця                                            | w309037965
 Фестивальний пров.                                                       | Фестивальний провулок                                                    | w493297830
 Фиолентовское шоссе 1б                                                   | Фиолентовское 1б шоссе                                                   | n4547474391
 Фонтанный пер.                                                           | Фонтанный переулок                                                       | w498257707
 Франка Івана вулиця                                                      | Івана Франка вулиця                                                      | w454738395,w454738396,w454738416
 Фрунзе вул.                                                              | Фрунзе вулиця                                                            | n1622097626
 Хабаровська вулиця                                                       | Хабаровська вулиця                                                       | w109209355,w380491962
 Херсонесский проезд (Страбонов проезд)                                   | Херсонесский (Страбонов проезд) проезд                                   | w292386249
 Хімічний 1-й провулок                                                    | 1-й Хімічний провулок                                                    | w188203927
 Хімічний 2-й провулок                                                    | 2-й Хімічний провулок                                                    | w387654947
 Хімічний 3-й провулок                                                    | 3-й Хімічний провулок                                                    | w243781008
 Хмельницьке шосе 0.5 км                                                  | Хмельницьке 0.5 км шосе                                                  | w39909427
 Хмельницького Богдана вулиця                                             | Богдана Хмельницького вулиця                                             | w127381732,w251246978
 Художников улица (Ресинджилер)                                           | Художников (Ресинджилер) улица                                           | n4416405397,w322751459,w471943294,w471943295,w471943296
 Центральна  вулиця                                                       | Центральна вулиця                                                        | w244551659,w34959238
 Центральная аллея нижнего парка                                          | Центральная нижнего парка аллея                                          | n4237616289
 Чайкіної Лізи вулиця                                                     | Лізи Чайкіної вулиця                                                     | w124859867,w443742359,w444743107
 Чайковського Петра вулиця                                                | Петра Чайковського вулиця                                                | w380380905
 Чакир Петра вулиця                                                       | Петра Чакир вулиця                                                       | w60199146
 Чапаєва вулиця (вулиця Куйбышева)                                        | Чапаєва (вулиця Куйбышева) вулиця                                        | w243030032
 Черепанових 2-й провулок                                                 | 2-й Черепанових провулок                                                 | w54782375
 Черепанових 3-й провулок                                                 | 3-й Черепанових провулок                                                 | w387898455
 Черняховского  вулиця                                                    | Черняховского вулиця                                                     | w180746422
 Черняховського 3-й проїзд                                                | 3-й Черняховського проїзд                                                | w501710305
 Шадури вулиця /поза межами /                                             | Шадури /поза межами / вулиця                                             | w491304384
 Шалімова Академіка вулиця                                                | Академіка Шалімова вулиця                                                | w144866969,w345935468,w345935819,w345935857,w463620075,w477542870,w477542871,w477542875,w477542876,w477542877,w477543014,w543934490,w543934494,w543934496,w543934497
 Шевченка 2-й провулок                                                    | 2-й Шевченка провулок                                                    | w465969445,w465969446,w465969447,w465969448,w465969449
 Шевченка  вулиця                                                         | Шевченка вулиця                                                          | w135459424
 Широка вул.                                                              | Широка вулиця                                                            | w90122326
 Широкий 1-й провулок                                                     | 1-й Широкий провулок                                                     | w74661430
 Широкий 2-й провулок                                                     | 2-й Широкий провулок                                                     | w74661428,w74661472
 Шишкіна 1-й провулок                                                     | 1-й Шишкіна провулок                                                     | w31537188
 Шишкіна 2-й провулок                                                     | 2-й Шишкіна провулок                                                     | w188095481,w484826414,w484826415
 Шишкіна 3-й провулок                                                     | 3-й Шишкіна провулок                                                     | w31537207
 Шкільна  вулиця                                                          | Шкільна вулиця                                                           | w162384034,w203098604
 Шкільна вулиця - Радомишльська вулиця                                    | Шкільна - Радомишльська вулиця вулиця                                    | w542282630
 Шкільний бульвар                                                         | Шкільний бульвар                                                         | w184443874,w184443881,w233349593
 Шкільний  провулок                                                       | Шкільний провулок                                                        | w158668376
 Шовковичний  провулок                                                    | Шовковичний провулок                                                     | w199350027
 Штепіна 3-й провулок                                                     | 3-й Штепіна провулок                                                     | w420324730
 Штилевая улица / Зелёный переулок                                        | Штилевая / Зелёный переулок улица                                        | w288012897
 Штилевая улица / Митридатская улица                                      | Штилевая / Митридатская улица улица                                      | w288012879
 Шухевича Романа вулиця                                                   | Романа Шухевича вулиця                                                   | w320947682,w320947687,w320947688,w320952475,w358902949,w358902950,w358902951,w358902952,w358902953,w358902956,w358902959,w358902961,w358902962,w358902963,w358902964,w358902965,w358902966,w358902967,w358902968,w358902970,w358902971,w358902972,w358902973,w358902974,w358902975,w358902976,w358902977,w358902978,w358902979,w359085050,w359085053,w359085057,w359085062,w359085066,w359085070,w359085073,w359085077,w359085080,w359085084,w359085087,w361038472,w361038473,w361038481,w361038499,w361038503
 Щорса                                                                    | Щорса                                                                    | n4299632990
 Щорса вулиця (стор. пос.Дослідної ст.), Степова ввулиця (стор. с.Вигода) | Щорса (стор. пос.Дослідної ст.), Степова ввулиця (стор. с.Вигода) вулиця | w148112944
 Ювілейний 1-й провулок                                                   | 1-й Ювілейний провулок                                                   | w138928277
 Ювілейний 2-й провулок                                                   | 2-й Ювілейний провулок                                                   | w138928264
 Южнобережное шоссе (Меласский туннель)                                   | Южнобережное (Меласский туннель) шоссе                                   | w35598590
 Яблунева вулиця (діл.: 349-364)                                          | Яблунева (діл.: 349-364) вулиця                                          | w536361207
 Яблунева вулиця (діл.: 90-126)                                           | Яблунева (діл.: 90-126) вулиця                                           | w490912983
 Яни-К'оз вулиця                                                          | Яни-К'оз вулиця                                                          | w344292522
 Ярмарковий 1-й провулок                                                  | 1-й Ярмарковий провулок                                                  | w340627871
 Ярмарковий 2-й провулок                                                  | 2-й Ярмарковий провулок                                                  | w340627870,w372615540
 Ярмарковий 3-й провулок                                                  | 3-й Ярмарковий провулок                                                  | w372615555,w420182292
 Ясеневая ул.                                                             | Ясеневая улица                                                           | n5344719922
(935 rows)

